Tag title,HD folder,Geographical coordinates
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-08 (Aug)-08","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-08 (Aug)-08/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/Charrarra","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/Charrarra/",9.8645;-83.9207
Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law-mayo 2001,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law-mayo 2001/,9.8645;-83.9207
Costa Rica/Cartago/San Rafael de Oreamuno/Visita Costa Rica - Olman - Agosto 2006,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/San Rafael de Oreamuno/Visita Costa Rica - Olman - Agosto 2006/,9.8645;-83.9207
Costa Rica/Cerro Chirripó,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Voluntariados/Cerro Chirripó/,9.4843;-83.4886
Costa Rica/Cinco pinos de Cartago,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en bicicleta/Cinco pinos de Cartago/,9.8246;-83.9334
Costa Rica/Colima de Tibás/Familia/2013-2015 Familia,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/2013-2015 Familia/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Arturito,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Arturito/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Azalea y Perfe,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Azalea y Perfe/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Celular Lawrence,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Celular Lawrence/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Celular Rosibel/fotos de paseo a Orosi,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Celular Rosibel/fotos de paseo a Orosi/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Celular Rosibel/varios,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Celular Rosibel/varios/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleanos 23 de Fernando,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleanos 23 de Fernando/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 16 de Perla,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 16 de Perla/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 25 de Fernando,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 25 de Fernando/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 29 de Katherine,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 29 de Katherine/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 30 de Katherine,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 30 de Katherine/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de María,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de María/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Rolando,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Rolando/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Vilma,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 50 de Vilma/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 51 de Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 51 de Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 52 Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 52 Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 53 de Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 53 de Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 58 de Flory,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 58 de Flory/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 65 de Sider,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 65 de Sider/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 67 de Sider,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 67 de Sider/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños 82 de Esperanza,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños 82 de Esperanza/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños de Fernando 24,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños de Fernando 24/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cumpleaños de Flor,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños de Flor/,9.9501;-84.073
